2025-11-28 15:47:51,816 - root - INFO - Logging configured successfully.
2025-11-28 15:49:12,165 - corrector.core.run - INFO - Step 15/596: Moving to target x=-55500, y=-24650
2025-11-28 15:49:15,931 - corrector.core.drift - INFO - Phase correlation: shift=(100.94638243960992, 10.777353063969201) conf=0.5010634338115711
2025-11-28 15:49:15,994 - corrector.core.run - INFO - Drift detected: (dx=-1252, dy=134) with conf=0.5011
2025-11-28 15:49:16,647 - corrector.core.run - INFO - Step 16/596: Moving to target x=-55700, y=-24650
2025-11-28 15:49:20,835 - corrector.core.drift - INFO - Phase correlation: shift=(101.05347745979725, 9.919164380514019) conf=0.5340875472983914
2025-11-28 15:49:20,915 - corrector.core.run - INFO - Drift detected: (dx=-1253, dy=123) with conf=0.5341
2025-11-28 15:49:21,456 - corrector.core.run - INFO - Step 17/596: Moving to target x=-55900, y=-24650
2025-11-28 15:49:25,840 - corrector.core.drift - INFO - Phase correlation: shift=(102.58202290079339, 9.01848458098516) conf=0.46582543385138486
2025-11-28 15:49:25,888 - corrector.core.run - INFO - Drift detected: (dx=-1272, dy=112) with conf=0.4658
2025-11-28 15:49:26,397 - corrector.core.run - INFO - Step 18/596: Moving to target x=-56100, y=-24650
2025-11-28 15:49:30,810 - corrector.core.drift - INFO - Phase correlation: shift=(101.20638804671671, 8.907182935876222) conf=0.5247608453843332
2025-11-28 15:49:30,873 - corrector.core.run - INFO - Drift detected: (dx=-1255, dy=110) with conf=0.5248
2025-11-28 15:49:31,336 - corrector.core.run - INFO - Step 19/596: Moving to target x=-56300, y=-24650
2025-11-28 15:49:35,480 - corrector.core.drift - INFO - Phase correlation: shift=(102.0127675846478, 8.767722894213307) conf=0.5111638511097013
2025-11-28 15:49:35,545 - corrector.core.run - INFO - Drift detected: (dx=-1265, dy=109) with conf=0.5112
2025-11-28 15:49:36,070 - corrector.core.run - INFO - Step 20/596: Moving to target x=-56500, y=-24650
2025-11-28 15:49:40,422 - corrector.core.drift - INFO - Phase correlation: shift=(102.82152858215716, 7.163636717223596) conf=0.5064346975071391
2025-11-28 15:49:40,470 - corrector.core.run - INFO - Drift detected: (dx=-1275, dy=89) with conf=0.5064
2025-11-28 15:49:41,075 - corrector.core.run - INFO - Step 21/596: Moving to target x=-56700, y=-24650
2025-11-28 15:49:45,549 - corrector.core.drift - INFO - Phase correlation: shift=(102.04620816535726, 6.2780767810718885) conf=0.5027863720344099
2025-11-28 15:49:45,597 - corrector.core.run - INFO - Drift detected: (dx=-1266, dy=78) with conf=0.5028
2025-11-28 15:49:46,125 - corrector.core.run - INFO - Step 22/596: Moving to target x=-56900, y=-24650
2025-11-28 15:49:50,264 - corrector.core.drift - INFO - Phase correlation: shift=(98.16843863617191, 5.126194818132603) conf=0.5133227768332151
2025-11-28 15:49:50,280 - corrector.core.run - INFO - Drift detected: (dx=-1218, dy=64) with conf=0.5133
2025-11-28 15:49:50,807 - corrector.core.run - INFO - Step 23/596: Moving to target x=-57100, y=-24650
2025-11-28 15:49:55,133 - corrector.core.drift - INFO - Phase correlation: shift=(90.93305884924803, 2.1020494208218565) conf=0.5380843640487416
2025-11-28 15:49:55,197 - corrector.core.run - INFO - Drift detected: (dx=-1128, dy=26) with conf=0.5381
2025-11-28 15:49:55,722 - corrector.core.run - INFO - Step 24/596: Moving to target x=-57300, y=-24650
2025-11-28 15:50:00,123 - corrector.core.drift - INFO - Phase correlation: shift=(80.74139216191065, -1.033753742609008) conf=0.5111992060778068
2025-11-28 15:50:00,171 - corrector.core.run - INFO - Drift detected: (dx=-1001, dy=-13) with conf=0.5112
2025-11-28 15:50:00,810 - corrector.core.run - INFO - Step 25/596: Moving to target x=-57500, y=-24650
2025-11-28 15:50:04,966 - corrector.core.drift - INFO - Phase correlation: shift=(67.36658470330451, -4.872102764486328) conf=0.48950214039266515
2025-11-28 15:50:04,997 - corrector.core.run - INFO - Drift detected: (dx=-836, dy=-60) with conf=0.4895
2025-11-28 15:50:05,557 - corrector.core.run - INFO - Step 26/596: Moving to target x=-57700, y=-24650
2025-11-28 15:50:09,726 - corrector.core.drift - INFO - Phase correlation: shift=(55.03772303538244, -8.087345035347653) conf=0.5335742180963365
2025-11-28 15:50:09,773 - corrector.core.run - INFO - Drift detected: (dx=-683, dy=-100) with conf=0.5336
2025-11-28 15:50:10,269 - corrector.core.run - INFO - Step 27/596: Moving to target x=-57900, y=-24650
2025-11-28 15:50:14,696 - corrector.core.drift - INFO - Phase correlation: shift=(42.67524396140368, -11.313905013505462) conf=0.4683212558707593
2025-11-28 15:50:14,776 - corrector.core.run - INFO - Drift detected: (dx=-529, dy=-140) with conf=0.4683
2025-11-28 15:50:15,333 - corrector.core.run - INFO - Step 28/596: Moving to target x=-58100, y=-24650
2025-11-28 15:50:19,894 - corrector.core.drift - INFO - Phase correlation: shift=(27.915222651170552, -16.005105799966486) conf=0.5511690531909831
2025-11-28 15:50:19,957 - corrector.core.run - INFO - Drift detected: (dx=-346, dy=-199) with conf=0.5512
2025-11-28 15:50:20,499 - corrector.core.run - INFO - Step 29/596: Moving to target x=-58300, y=-24650
2025-11-28 15:50:24,749 - corrector.core.drift - INFO - Phase correlation: shift=(13.164691899522495, -19.984833627280466) conf=0.555456187408299
2025-11-28 15:50:24,813 - corrector.core.run - INFO - Drift detected: (dx=-163, dy=-248) with conf=0.5555
2025-11-28 15:50:25,448 - corrector.core.run - INFO - Step 30/596: Moving to target x=-58500, y=-24650
2025-11-28 15:50:29,676 - corrector.core.drift - INFO - Phase correlation: shift=(-0.889300990007655, -23.070758629028774) conf=0.551814084805825
2025-11-28 15:50:29,739 - corrector.core.run - INFO - Drift detected: (dx=11, dy=-286) with conf=0.5518
2025-11-28 15:50:30,265 - corrector.core.run - INFO - Step 31/596: Moving to target x=-58300, y=-24650
2025-11-28 15:50:34,541 - corrector.core.drift - INFO - Phase correlation: shift=(0.8986289175252296, -23.871934509291464) conf=0.5558804617713136
2025-11-28 15:50:34,605 - corrector.core.run - INFO - Drift detected: (dx=-11, dy=-296) with conf=0.5559
2025-11-28 15:50:35,132 - corrector.core.run - INFO - Step 32/596: Moving to target x=-58100, y=-24650
2025-11-28 15:50:39,289 - corrector.core.drift - INFO - Phase correlation: shift=(3.196440882302227, -22.98838357881249) conf=0.5469723213616255
2025-11-28 15:50:39,321 - corrector.core.run - INFO - Drift detected: (dx=-40, dy=-285) with conf=0.5470
2025-11-28 15:50:39,840 - corrector.core.run - INFO - Step 33/596: Moving to target x=-57900, y=-24650
2025-11-28 15:50:44,316 - corrector.core.drift - INFO - Phase correlation: shift=(4.075220637624284, -24.69324287651426) conf=0.5116701522197825
2025-11-28 15:50:44,348 - corrector.core.run - INFO - Drift detected: (dx=-51, dy=-306) with conf=0.5117
2025-11-28 15:50:44,923 - corrector.core.run - INFO - Step 34/596: Moving to target x=-57700, y=-24650
2025-11-28 15:50:49,019 - corrector.core.drift - INFO - Phase correlation: shift=(4.920256431163011, -24.046006801339786) conf=0.5644239131283539
2025-11-28 15:50:49,051 - corrector.core.run - INFO - Drift detected: (dx=-61, dy=-298) with conf=0.5644
2025-11-28 15:50:49,545 - corrector.core.run - INFO - Step 35/596: Moving to target x=-57500, y=-24650
2025-11-28 15:50:53,954 - corrector.core.drift - INFO - Phase correlation: shift=(4.9639511347315874, -24.184192830499967) conf=0.5373433427658735
2025-11-28 15:50:54,018 - corrector.core.run - INFO - Drift detected: (dx=-62, dy=-300) with conf=0.5373
2025-11-28 15:50:54,543 - corrector.core.run - INFO - Step 36/596: Moving to target x=-57300, y=-24650
2025-11-28 15:50:58,992 - corrector.core.drift - INFO - Phase correlation: shift=(4.951792592874085, -25.149989432519646) conf=0.5440135913834786
2025-11-28 15:50:59,040 - corrector.core.run - INFO - Drift detected: (dx=-61, dy=-312) with conf=0.5440
2025-11-28 15:50:59,550 - corrector.core.run - INFO - Step 37/596: Moving to target x=-57100, y=-24650
2025-11-28 15:51:03,781 - corrector.core.drift - INFO - Phase correlation: shift=(5.816162974097097, -25.23422949558187) conf=0.49640483658369416
2025-11-28 15:51:03,845 - corrector.core.run - INFO - Drift detected: (dx=-72, dy=-313) with conf=0.4964
2025-11-28 15:51:04,405 - corrector.core.run - INFO - Step 38/596: Moving to target x=-56900, y=-24650
2025-11-28 15:51:08,482 - corrector.core.drift - INFO - Phase correlation: shift=(5.12798035700132, -26.870701886673487) conf=0.5526390042056848
2025-11-28 15:51:08,562 - corrector.core.run - INFO - Drift detected: (dx=-64, dy=-333) with conf=0.5526
2025-11-28 15:51:09,135 - corrector.core.run - INFO - Step 39/596: Moving to target x=-56700, y=-24650
2025-11-28 15:51:13,436 - corrector.core.drift - INFO - Phase correlation: shift=(5.956786746215471, -27.06563708577397) conf=0.5744134840795931
2025-11-28 15:51:13,484 - corrector.core.run - INFO - Drift detected: (dx=-74, dy=-336) with conf=0.5744
2025-11-28 15:51:14,058 - corrector.core.run - INFO - Step 40/596: Moving to target x=-56500, y=-24650
2025-11-28 15:51:18,241 - corrector.core.drift - INFO - Phase correlation: shift=(6.047071893257112, -27.951309748592053) conf=0.5524010834750527
2025-11-28 15:51:18,288 - corrector.core.run - INFO - Drift detected: (dx=-75, dy=-347) with conf=0.5524
2025-11-28 15:51:18,703 - corrector.core.run - INFO - Step 41/596: Moving to target x=-56450, y=-24650
2025-11-28 15:51:23,256 - corrector.core.drift - INFO - Phase correlation: shift=(6.922819695291764, -28.75960157360805) conf=0.5279026620613332
2025-11-28 15:51:23,320 - corrector.core.run - INFO - Drift detected: (dx=-86, dy=-357) with conf=0.5279
2025-11-28 15:51:23,765 - corrector.core.run - INFO - Step 42/596: Moving to target x=-56400, y=-24650
2025-11-28 15:51:28,259 - corrector.core.drift - INFO - Phase correlation: shift=(7.087522342021657, -28.92913169764506) conf=0.5561056739338431
2025-11-28 15:51:28,308 - corrector.core.run - INFO - Drift detected: (dx=-88, dy=-359) with conf=0.5561
2025-11-28 15:51:28,801 - corrector.core.run - INFO - Step 43/596: Moving to target x=-56350, y=-24650
2025-11-28 15:51:33,073 - corrector.core.drift - INFO - Phase correlation: shift=(7.2683659513676275, -29.912254673060772) conf=0.516850665635947
2025-11-28 15:51:33,120 - corrector.core.run - INFO - Drift detected: (dx=-90, dy=-371) with conf=0.5169
2025-11-28 15:51:33,583 - corrector.core.run - INFO - Step 44/596: Moving to target x=-56300, y=-24650
2025-11-28 15:51:37,885 - corrector.core.drift - INFO - Phase correlation: shift=(8.905344089819323, -29.165933247881185) conf=0.5497096203699182
2025-11-28 15:51:37,932 - corrector.core.run - INFO - Drift detected: (dx=-110, dy=-362) with conf=0.5497
2025-11-28 15:51:38,411 - corrector.core.run - INFO - Step 45/596: Moving to target x=-56250, y=-24650
2025-11-28 15:51:42,761 - corrector.core.drift - INFO - Phase correlation: shift=(9.903892265874788, -29.994313052105326) conf=0.5544619543029019
2025-11-28 15:51:42,809 - corrector.core.run - INFO - Drift detected: (dx=-123, dy=-372) with conf=0.5545
2025-11-28 15:51:43,334 - corrector.core.run - INFO - Step 46/596: Moving to target x=-56200, y=-24650
2025-11-28 15:51:47,678 - corrector.core.drift - INFO - Phase correlation: shift=(11.035346782898273, -30.785525796655804) conf=0.5409380817898153
2025-11-28 15:51:47,741 - corrector.core.run - INFO - Drift detected: (dx=-137, dy=-382) with conf=0.5409
2025-11-28 15:51:48,249 - corrector.core.run - INFO - Step 47/596: Moving to target x=-56150, y=-24650
2025-11-28 15:51:52,408 - corrector.core.drift - INFO - Phase correlation: shift=(13.159996266470216, -30.015676876164434) conf=0.5561744910073576
2025-11-28 15:51:52,456 - corrector.core.run - INFO - Drift detected: (dx=-163, dy=-372) with conf=0.5562
