2025-11-18 17:06:31,780 - root - INFO - Logging configured successfully.
2025-11-18 17:08:09,608 - corrector.core.drift - INFO - Phase correlation: shift=(96.74181024795871, 24.10128211269341) conf=0.8754097294975122
2025-11-18 17:08:09,688 - corrector.core.run - INFO - Drift detected: (dx=-1200, dy=299) with conf=0.8754
2025-11-18 17:08:10,422 - corrector.core.run - INFO - Step 17/200: Moving to target x=-22800, y=-48150
2025-11-18 17:08:15,881 - corrector.core.drift - INFO - Phase correlation: shift=(80.83979406855599, 19.738333119906827) conf=0.8773295561960774
2025-11-18 17:08:15,945 - corrector.core.run - INFO - Drift detected: (dx=-1003, dy=245) with conf=0.8773
2025-11-18 17:08:16,648 - corrector.core.run - INFO - Step 18/200: Moving to target x=-23200, y=-48150
2025-11-18 17:08:22,154 - corrector.core.drift - INFO - Phase correlation: shift=(57.7898088643816, 13.7740545025124) conf=0.9313984686767314
2025-11-18 17:08:22,218 - corrector.core.run - INFO - Drift detected: (dx=-717, dy=171) with conf=0.9314
2025-11-18 17:08:23,001 - corrector.core.run - INFO - Step 19/200: Moving to target x=-23600, y=-48150
2025-11-18 17:08:28,489 - corrector.core.drift - INFO - Phase correlation: shift=(31.17371479698511, 7.165280405016404) conf=0.9569420101035776
2025-11-18 17:08:28,553 - corrector.core.run - INFO - Drift detected: (dx=-387, dy=89) with conf=0.9569
2025-11-18 17:08:29,239 - corrector.core.run - INFO - Step 20/200: Moving to target x=-24000, y=-48150
2025-11-18 17:08:34,793 - corrector.core.drift - INFO - Phase correlation: shift=(3.7967125806492277, 0.2698278840916828) conf=0.9673580152456676
2025-11-18 17:08:34,873 - corrector.core.run - INFO - Drift detected: (dx=-47, dy=3) with conf=0.9674
2025-11-18 17:08:35,526 - corrector.core.run - INFO - Step 21/200: Moving to target x=-24400, y=-48150
2025-11-18 17:08:41,049 - corrector.core.drift - INFO - Phase correlation: shift=(-25.191151269013403, -6.235375777777847) conf=0.945562608620812
2025-11-18 17:08:41,129 - corrector.core.run - INFO - Drift detected: (dx=312, dy=-77) with conf=0.9456
2025-11-18 17:08:41,814 - corrector.core.run - INFO - Step 22/200: Moving to target x=-24800, y=-48150
2025-11-18 17:08:47,427 - corrector.core.drift - INFO - Phase correlation: shift=(-55.73584846252345, -13.11110713648435) conf=0.9114256585986381
2025-11-18 17:08:47,507 - corrector.core.run - INFO - Drift detected: (dx=691, dy=-163) with conf=0.9114
2025-11-18 17:08:48,223 - corrector.core.run - INFO - Step 23/200: Moving to target x=-25200, y=-48150
2025-11-18 17:08:53,731 - corrector.core.drift - INFO - Phase correlation: shift=(-85.8174384056349, -19.989617241546796) conf=0.868956189869459
2025-11-18 17:08:53,811 - corrector.core.run - INFO - Drift detected: (dx=1064, dy=-248) with conf=0.8690
2025-11-18 17:08:54,530 - corrector.core.run - INFO - Step 24/200: Moving to target x=-25600, y=-48150
2025-11-18 17:08:59,971 - corrector.core.drift - INFO - Phase correlation: shift=(-115.89179811520603, -26.971365561393327) conf=0.8184662738014109
2025-11-18 17:09:00,050 - corrector.core.run - INFO - Drift detected: (dx=1437, dy=-335) with conf=0.8185
2025-11-18 17:09:00,786 - corrector.core.run - INFO - Step 25/200: Moving to target x=-26000, y=-48150
2025-11-18 17:09:06,351 - corrector.core.drift - INFO - Phase correlation: shift=(-146.79092907602615, -33.922801171679964) conf=0.7781945139354395
2025-11-18 17:09:06,431 - corrector.core.run - INFO - Drift detected: (dx=1821, dy=-421) with conf=0.7782
2025-11-18 17:09:07,132 - corrector.core.run - INFO - Step 26/200: Moving to target x=-26400, y=-48150
2025-11-18 17:09:12,550 - corrector.core.drift - INFO - Phase correlation: shift=(-177.828706641169, -41.07185125718382) conf=0.7335435983400213
2025-11-18 17:09:12,614 - corrector.core.run - INFO - Drift detected: (dx=2205, dy=-509) with conf=0.7335
